,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20,PC 21,PC 22,PC 23,PC 24,PC 25,PC 26,PC 27,PC 28,PC 29,PC 30
10,RA_ObjRelClauseThat_txl - 0.215661,SV_Simple_txl - 0.192489,SV_PP_gpt2 - 0.156673,SV_PP_gpt2 - 0.205098,SV_Simple_bert - 0.185838,RA_Simple_txl - 0.153766,SV_Simple_bert - 0.185822,RA_SentComp_txl - 0.166641,SV_PP_bert - 0.182692,RA_Simple_gpt2 - 0.191952,SV_ObjRelClauseThat_txl - 0.198299,SV_SubjRelClause_gpt2 - 0.189610,SV_ObjRelClauseNoThat_gpt2 - 0.177193,SV_SentComp_gpt2 - 0.139710,SV_PP_bert - 0.155230,SV_ObjRelClauseThat_gpt2 - 0.161915,SV_SubjRelClause_txl - 0.164720,RA_ObjRelClauseNoThat_txl - 0.115573,RA_ObjRelClauseNoThat_bert - 0.140614,RA_Simple_gpt2 - 0.196846,SV_PP_bert - 0.103960,RA_SentComp_txl - 0.137828,RA_SentComp_gpt2 - 0.094345,SV_SentComp_gpt2 - 0.151783,RA_ObjRelClauseThat_txl - 0.156773,SV_Simple_gpt2 - 0.067994,SV_ObjRelClauseNoThat_gpt2 - 0.135514,RA_ObjRelClauseNoThat_gpt2 - 0.065990,RA_ObjRelClauseThat_gpt2 - 0.092673,SV_ObjRelClauseThat_txl - 0.061598
11,SV_Simple_gpt2 - 0.187545,SV_SentComp_txl - 0.188803,RA_ObjRelClauseNoThat_gpt2 - 0.134852,SV_Simple_bert - 0.190127,SV_PP_gpt2 - 0.181078,SV_PP_gpt2 - 0.143241,RA_SentComp_txl - 0.182328,RA_Simple_txl - 0.147537,RA_ObjRelClauseNoThat_txl - 0.170747,SV_ObjRelClauseNoThat_txl - 0.178126,RA_ObjRelClauseThat_bert - 0.191197,SV_ObjRelClauseThat_gpt2 - 0.172899,SV_SentComp_gpt2 - 0.170651,SV_ObjRelClauseNoThat_bert - 0.112625,RA_Simple_gpt2 - 0.142781,RA_ObjRelClauseNoThat_gpt2 - 0.145877,SV_Simple_bert - 0.156406,SV_SentComp_bert - 0.115481,SV_PP_gpt2 - 0.117911,SV_SubjRelClause_gpt2 - 0.172989,RA_Simple_bert - 0.088963,RA_ObjRelClauseThat_bert - 0.118816,RA_Simple_gpt2 - 0.086076,RA_SentComp_bert - 0.137485,SV_ObjRelClauseNoThat_gpt2 - 0.130601,RA_SentComp_gpt2 - 0.058471,SV_ObjRelClauseThat_gpt2 - 0.119064,RA_ObjRelClauseThat_bert - 0.062632,RA_ObjRelClauseThat_txl - 0.089188,SV_SubjRelClause_txl - 0.054262
12,SV_SentComp_txl - 0.186895,RA_SentComp_gpt2 - 0.184596,SV_ObjRelClauseThat_txl - 0.127301,SV_PP_bert - 0.187683,SV_ObjRelClauseThat_txl - 0.170337,SV_Simple_txl - 0.110820,RA_ObjRelClauseThat_gpt2 - 0.182216,SV_PP_gpt2 - 0.146046,SV_PP_txl - 0.167927,SV_ObjRelClauseThat_gpt2 - 0.140584,RA_SentComp_bert - 0.183930,SV_ObjRelClauseNoThat_bert - 0.157327,RA_ObjRelClauseNoThat_bert - 0.158464,RA_SentComp_bert - 0.102105,SV_PP_gpt2 - 0.137683,SV_SentComp_gpt2 - 0.131186,RA_ObjRelClauseNoThat_txl - 0.135802,SV_Simple_txl - 0.112218,RA_SentComp_bert - 0.115061,SV_Simple_bert - 0.167627,RA_SentComp_gpt2 - 0.088322,RA_ObjRelClauseThat_txl - 0.117478,SV_ObjRelClauseNoThat_bert - 0.071481,RA_ObjRelClauseNoThat_bert - 0.079935,SV_ObjRelClauseThat_txl - 0.121933,RA_SentComp_txl - 0.057970,SV_ObjRelClauseNoThat_txl - 0.108020,SV_PP_gpt2 - 0.038575,SV_ObjRelClauseThat_txl - 0.078365,RA_SentComp_gpt2 - 0.049317
13,SV_Simple_txl - 0.184421,SV_Simple_gpt2 - 0.173830,RA_ObjRelClauseThat_gpt2 - 0.099295,RA_SentComp_txl - 0.180115,RA_ObjRelClauseNoThat_gpt2 - 0.165177,RA_SentComp_txl - 0.106607,SV_ObjRelClauseThat_bert - 0.172924,SV_Simple_txl - 0.139823,SV_Simple_bert - 0.127617,SV_SubjRelClause_gpt2 - 0.136029,RA_ObjRelClauseNoThat_gpt2 - 0.179123,SV_ObjRelClauseThat_txl - 0.126827,SV_Simple_gpt2 - 0.140327,SV_SentComp_txl - 0.094256,SV_Simple_gpt2 - 0.128910,SV_ObjRelClauseNoThat_gpt2 - 0.125846,SV_SentComp_bert - 0.129297,SV_Simple_bert - 0.096789,RA_SentComp_gpt2 - 0.114038,SV_SentComp_gpt2 - 0.153035,SV_SubjRelClause_txl - 0.084625,RA_SentComp_gpt2 - 0.117078,SV_SubjRelClause_gpt2 - 0.068912,SV_SubjRelClause_txl - 0.078409,SV_PP_gpt2 - 0.114599,SV_PP_txl - 0.053457,RA_ObjRelClauseNoThat_bert - 0.087420,SV_SentComp_bert - 0.038219,SV_SubjRelClause_txl - 0.073119,RA_ObjRelClauseNoThat_gpt2 - 0.047959
14,RA_ObjRelClauseNoThat_bert - 0.171527,SV_SentComp_bert - 0.144522,SV_Simple_gpt2 - 0.094627,SV_ObjRelClauseNoThat_txl - 0.144507,RA_SentComp_txl - 0.158686,SV_ObjRelClauseThat_gpt2 - 0.104840,RA_Simple_gpt2 - 0.169733,RA_ObjRelClauseThat_gpt2 - 0.116944,SV_ObjRelClauseThat_gpt2 - 0.106251,RA_ObjRelClauseThat_gpt2 - 0.116989,SV_ObjRelClauseNoThat_gpt2 - 0.165041,SV_SentComp_txl - 0.100967,SV_SubjRelClause_bert - 0.137289,SV_ObjRelClauseThat_gpt2 - 0.089041,SV_SentComp_gpt2 - 0.120381,RA_ObjRelClauseNoThat_bert - 0.120760,RA_Simple_gpt2 - 0.127123,SV_PP_gpt2 - 0.088250,SV_Simple_bert - 0.113518,SV_ObjRelClauseThat_gpt2 - 0.152672,SV_SubjRelClause_bert - 0.083568,RA_Simple_gpt2 - 0.104480,RA_ObjRelClauseThat_gpt2 - 0.060496,SV_PP_bert - 0.072904,RA_SentComp_gpt2 - 0.085649,RA_ObjRelClauseThat_bert - 0.052858,SV_PP_gpt2 - 0.073330,SV_ObjRelClauseThat_gpt2 - 0.032345,RA_Simple_bert - 0.056253,RA_ObjRelClauseThat_txl - 0.038589
15,RA_ObjRelClauseThat_bert - 0.155438,SV_SubjRelClause_gpt2 - 0.143681,SV_SubjRelClause_txl - 0.093667,SV_ObjRelClauseNoThat_gpt2 - 0.136886,SV_Simple_gpt2 - 0.147183,SV_ObjRelClauseThat_txl - 0.088004,RA_ObjRelClauseNoThat_gpt2 - 0.162729,SV_PP_bert - 0.112493,SV_PP_gpt2 - 0.093155,RA_SentComp_gpt2 - 0.109425,SV_Simple_bert - 0.161608,RA_Simple_gpt2 - 0.079000,RA_ObjRelClauseThat_bert - 0.122905,SV_Simple_gpt2 - 0.081264,SV_ObjRelClauseNoThat_bert - 0.109084,RA_ObjRelClauseThat_bert - 0.119957,RA_ObjRelClauseNoThat_gpt2 - 0.118339,RA_ObjRelClauseNoThat_gpt2 - 0.077860,SV_Simple_gpt2 - 0.068590,SV_ObjRelClauseThat_bert - 0.138103,SV_ObjRelClauseNoThat_bert - 0.080968,SV_SubjRelClause_txl - 0.093184,SV_Simple_bert - 0.059758,SV_PP_txl - 0.072614,SV_Simple_gpt2 - 0.082481,SV_ObjRelClauseThat_bert - 0.051301,SV_Simple_gpt2 - 0.059033,SV_ObjRelClauseNoThat_bert - 0.030428,SV_ObjRelClauseNoThat_txl - 0.045794,SV_PP_bert - 0.029698
16,SV_PP_bert - 0.150390,RA_ObjRelClauseNoThat_gpt2 - 0.119056,RA_SentComp_gpt2 - 0.091876,SV_SentComp_bert - 0.105342,SV_ObjRelClauseNoThat_txl - 0.143039,SV_ObjRelClauseNoThat_gpt2 - 0.085396,RA_ObjRelClauseNoThat_bert - 0.162385,RA_Simple_gpt2 - 0.102551,SV_ObjRelClauseNoThat_gpt2 - 0.088939,SV_Simple_txl - 0.103454,SV_PP_txl - 0.143778,RA_ObjRelClauseThat_gpt2 - 0.077840,SV_SentComp_bert - 0.115129,RA_Simple_bert - 0.072974,RA_SentComp_bert - 0.099609,SV_SentComp_bert - 0.100181,SV_ObjRelClauseThat_bert - 0.095732,RA_Simple_bert - 0.077695,SV_SubjRelClause_bert - 0.066755,RA_ObjRelClauseThat_bert - 0.136865,RA_ObjRelClauseNoThat_bert - 0.077583,RA_ObjRelClauseNoThat_bert - 0.089002,RA_SentComp_bert - 0.054426,RA_ObjRelClauseNoThat_gpt2 - 0.060014,RA_SentComp_txl - 0.067682,RA_ObjRelClauseNoThat_bert - 0.045830,SV_PP_bert - 0.052869,SV_SentComp_gpt2 - 0.030200,SV_SentComp_gpt2 - 0.043074,SV_ObjRelClauseNoThat_gpt2 - 0.029185
17,SV_Simple_bert - 0.148975,SV_ObjRelClauseNoThat_bert - 0.096639,RA_Simple_gpt2 - 0.083686,RA_Simple_bert - 0.092931,RA_Simple_txl - 0.142221,RA_Simple_bert - 0.078422,SV_SubjRelClause_bert - 0.155811,RA_ObjRelClauseNoThat_gpt2 - 0.099909,RA_SentComp_bert - 0.068221,SV_SubjRelClause_txl - 0.098782,SV_SubjRelClause_txl - 0.140095,RA_ObjRelClauseThat_txl - 0.070263,SV_Simple_txl - 0.095682,RA_ObjRelClauseNoThat_txl - 0.068906,RA_ObjRelClauseThat_txl - 0.098196,RA_SentComp_txl - 0.088550,RA_SentComp_bert - 0.085200,RA_SentComp_txl - 0.073272,RA_ObjRelClauseThat_txl - 0.066539,SV_PP_gpt2 - 0.124065,RA_Simple_txl - 0.069003,SV_PP_txl - 0.076740,SV_ObjRelClauseNoThat_txl - 0.053614,SV_ObjRelClauseThat_bert - 0.050680,RA_ObjRelClauseThat_bert - 0.052723,SV_ObjRelClauseNoThat_bert - 0.043260,SV_SentComp_bert - 0.043884,SV_SentComp_txl - 0.027591,SV_Simple_gpt2 - 0.026460,SV_SentComp_txl - 0.028573
18,SV_PP_txl - 0.120046,RA_ObjRelClauseThat_txl - 0.087173,SV_Simple_txl - 0.083437,SV_ObjRelClauseThat_gpt2 - 0.089388,RA_Simple_gpt2 - 0.098983,SV_Simple_bert - 0.075182,SV_SentComp_bert - 0.151202,SV_ObjRelClauseNoThat_txl - 0.085044,RA_Simple_bert - 0.056474,SV_SentComp_txl - 0.098563,SV_PP_gpt2 - 0.137323,RA_ObjRelClauseNoThat_gpt2 - 0.067273,RA_Simple_gpt2 - 0.088139,SV_ObjRelClauseThat_txl - 0.050082,SV_SubjRelClause_bert - 0.093720,SV_SubjRelClause_txl - 0.082736,SV_Simple_txl - 0.071461,RA_Simple_gpt2 - 0.068348,SV_SentComp_txl - 0.054123,SV_ObjRelClauseNoThat_txl - 0.113322,SV_ObjRelClauseThat_txl - 0.067585,SV_ObjRelClauseThat_txl - 0.075319,RA_ObjRelClauseThat_bert - 0.052406,SV_SubjRelClause_gpt2 - 0.045531,RA_ObjRelClauseNoThat_bert - 0.050467,SV_PP_gpt2 - 0.034004,SV_Simple_txl - 0.033777,SV_ObjRelClauseThat_txl - 0.021756,SV_PP_bert - 0.016795,SV_ObjRelClauseNoThat_txl - 0.023311
19,SV_SubjRelClause_bert - 0.064864,RA_ObjRelClauseNoThat_txl - 0.082441,SV_SentComp_gpt2 - 0.066319,SV_ObjRelClauseNoThat_bert - 0.086743,SV_SubjRelClause_txl - 0.098784,SV_SentComp_txl - 0.064626,RA_SentComp_gpt2 - 0.141500,SV_Simple_gpt2 - 0.065333,RA_ObjRelClauseThat_gpt2 - 0.055915,SV_PP_txl - 0.083630,RA_ObjRelClauseNoThat_bert - 0.131765,SV_Simple_gpt2 - 0.057601,SV_PP_txl - 0.086539,RA_ObjRelClauseNoThat_gpt2 - 0.049013,SV_SentComp_txl - 0.087652,SV_ObjRelClauseThat_bert - 0.080142,SV_SubjRelClause_gpt2 - 0.049789,RA_SentComp_bert - 0.062145,RA_Simple_gpt2 - 0.051885,SV_ObjRelClauseThat_txl - 0.111139,RA_ObjRelClauseThat_bert - 0.067042,SV_SubjRelClause_gpt2 - 0.068452,SV_ObjRelClauseNoThat_gpt2 - 0.048282,SV_Simple_txl - 0.043087,SV_SentComp_gpt2 - 0.044503,SV_SentComp_txl - 0.026458,SV_SentComp_gpt2 - 0.030434,SV_PP_txl - 0.020218,RA_ObjRelClauseNoThat_gpt2 - 0.015086,SV_ObjRelClauseThat_gpt2 - 0.020423
20,SV_SentComp_gpt2 - 0.059884,SV_ObjRelClauseThat_bert - 0.078273,RA_ObjRelClauseNoThat_txl - 0.052793,SV_SubjRelClause_bert - 0.072469,SV_SubjRelClause_gpt2 - 0.085204,SV_ObjRelClauseNoThat_txl - 0.056532,SV_PP_gpt2 - 0.138848,RA_ObjRelClauseThat_txl - 0.058090,SV_SubjRelClause_gpt2 - 0.053852,RA_SentComp_txl - 0.076599,SV_SentComp_gpt2 - 0.113161,SV_Simple_txl - 0.044779,SV_ObjRelClauseThat_txl - 0.085261,SV_PP_bert - 0.039971,SV_ObjRelClauseThat_gpt2 - 0.080649,SV_Simple_txl - 0.079341,RA_Simple_bert - 0.048082,RA_Simple_txl - 0.057083,SV_Simple_txl - 0.049902,SV_Simple_gpt2 - 0.105230,RA_ObjRelClauseThat_txl - 0.063017,RA_ObjRelClauseThat_gpt2 - 0.049343,RA_Simple_bert - 0.041344,SV_PP_gpt2 - 0.040558,SV_Simple_bert - 0.030681,RA_SentComp_bert - 0.021143,SV_ObjRelClauseNoThat_bert - 0.029553,SV_PP_bert - 0.019163,SV_ObjRelClauseNoThat_bert - 0.013033,SV_SentComp_gpt2 - 0.020377
