,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15,PC 16,PC 17,PC 18,PC 19,PC 20
10,SV_PP_bert - 0.197723,RA_ObjRelClauseThat_bert - 0.129492,SV_PP_bert - 0.193852,SV_SubjRelClause_gpt2 - 0.180863,RA_Simple_gpt2 - 0.139922,RA_SentComp_gpt2 - 0.074380,SV_PP_bert - 0.172465,RA_ObjRelClauseNoThat_bert - 0.125134,SV_ObjRelClauseNoThat_gpt2 - 0.119883,RA_ObjRelClauseNoThat_gpt2 - 0.084643,RA_Simple_gpt2 - 0.141495,RA_Simple_gpt2 - 0.174137,RA_SentComp_bert - 0.129619,SV_ObjRelClauseThat_gpt2 - 0.123596,SV_SubjRelClause_gpt2 - 0.111813,SV_ObjRelClauseNoThat_gpt2 - 0.092076,SV_SentComp_gpt2 - 0.035746,SV_ObjRelClauseNoThat_bert - 0.052998,SV_ObjRelClauseThat_gpt2 - 0.029081,SV_PP_bert - 0.033767
11,SV_Simple_bert - 0.162242,SV_SubjRelClause_bert - 0.123804,SV_Simple_gpt2 - 0.125899,RA_ObjRelClauseThat_gpt2 - 0.128173,SV_PP_gpt2 - 0.132248,SV_SentComp_gpt2 - 0.064558,SV_SubjRelClause_gpt2 - 0.114348,SV_SentComp_bert - 0.123321,RA_ObjRelClauseNoThat_gpt2 - 0.114577,RA_ObjRelClauseThat_bert - 0.081391,RA_ObjRelClauseNoThat_gpt2 - 0.141481,SV_Simple_bert - 0.155525,RA_ObjRelClauseNoThat_bert - 0.096165,SV_ObjRelClauseNoThat_gpt2 - 0.123448,SV_ObjRelClauseThat_bert - 0.106083,RA_ObjRelClauseNoThat_bert - 0.086950,SV_Simple_bert - 0.035641,SV_PP_bert - 0.038113,SV_ObjRelClauseNoThat_bert - 0.028907,SV_SentComp_gpt2 - 0.030621
12,SV_SubjRelClause_bert - 0.085973,RA_Simple_gpt2 - 0.119852,SV_SubjRelClause_bert - 0.100838,SV_PP_gpt2 - 0.123809,SV_ObjRelClauseNoThat_gpt2 - 0.120235,SV_Simple_gpt2 - 0.051736,SV_Simple_bert - 0.097489,RA_SentComp_gpt2 - 0.122602,SV_ObjRelClauseNoThat_bert - 0.107430,SV_Simple_gpt2 - 0.070594,SV_SubjRelClause_bert - 0.128963,SV_ObjRelClauseThat_bert - 0.114771,RA_Simple_gpt2 - 0.070290,SV_Simple_gpt2 - 0.110640,SV_ObjRelClauseThat_gpt2 - 0.102611,SV_ObjRelClauseThat_gpt2 - 0.078380,SV_SubjRelClause_bert - 0.018379,SV_PP_gpt2 - 0.036853,SV_PP_gpt2 - 0.026189,SV_ObjRelClauseNoThat_gpt2 - 0.026343
13,SV_SentComp_gpt2 - 0.056446,SV_ObjRelClauseThat_bert - 0.104944,SV_PP_gpt2 - 0.080017,RA_ObjRelClauseNoThat_gpt2 - 0.098973,RA_SentComp_gpt2 - 0.115065,RA_SentComp_bert - 0.042284,RA_ObjRelClauseNoThat_gpt2 - 0.083033,RA_ObjRelClauseNoThat_gpt2 - 0.103013,SV_Simple_bert - 0.100344,RA_ObjRelClauseThat_gpt2 - 0.068931,SV_SentComp_gpt2 - 0.122553,RA_SentComp_bert - 0.076943,RA_ObjRelClauseThat_gpt2 - 0.069885,RA_Simple_bert - 0.093929,RA_ObjRelClauseNoThat_bert - 0.095355,SV_SubjRelClause_bert - 0.056075,RA_ObjRelClauseNoThat_bert - 0.011788,RA_ObjRelClauseThat_bert - 0.032680,SV_Simple_gpt2 - 0.022694,SV_ObjRelClauseThat_gpt2 - 0.024913
14,SV_ObjRelClauseThat_gpt2 - 0.045513,RA_SentComp_gpt2 - 0.101279,SV_SubjRelClause_gpt2 - 0.065548,RA_ObjRelClauseThat_bert - 0.055827,RA_ObjRelClauseNoThat_gpt2 - 0.103172,RA_ObjRelClauseNoThat_gpt2 - 0.037260,RA_ObjRelClauseThat_gpt2 - 0.065690,SV_ObjRelClauseNoThat_bert - 0.063620,SV_ObjRelClauseThat_bert - 0.088796,RA_Simple_gpt2 - 0.039575,SV_ObjRelClauseThat_bert - 0.110688,SV_SubjRelClause_gpt2 - 0.074911,SV_SentComp_bert - 0.069648,SV_PP_gpt2 - 0.092600,SV_SubjRelClause_bert - 0.081256,RA_ObjRelClauseNoThat_gpt2 - 0.052622,SV_ObjRelClauseThat_bert - 0.010381,SV_SentComp_bert - 0.032375,SV_ObjRelClauseThat_bert - 0.017719,SV_Simple_gpt2 - 0.019409
15,SV_ObjRelClauseNoThat_bert - 0.042852,SV_ObjRelClauseNoThat_bert - 0.063831,SV_ObjRelClauseThat_gpt2 - 0.058848,RA_SentComp_bert - 0.040563,RA_ObjRelClauseThat_gpt2 - 0.103147,SV_ObjRelClauseThat_bert - 0.030374,RA_SentComp_bert - 0.036051,SV_Simple_gpt2 - 0.058023,RA_Simple_gpt2 - 0.077103,SV_ObjRelClauseThat_gpt2 - 0.036980,SV_Simple_gpt2 - 0.075682,RA_Simple_bert - 0.069795,RA_Simple_bert - 0.059290,RA_ObjRelClauseThat_gpt2 - 0.082411,SV_ObjRelClauseNoThat_bert - 0.077925,RA_Simple_gpt2 - 0.032133,SV_SubjRelClause_gpt2 - 0.009810,SV_SentComp_gpt2 - 0.031525,RA_ObjRelClauseThat_gpt2 - 0.016240,SV_PP_gpt2 - 0.018986
16,SV_ObjRelClauseThat_bert - 0.036384,SV_PP_bert - 0.052944,RA_SentComp_bert - 0.030331,RA_Simple_bert - 0.036117,SV_SentComp_gpt2 - 0.085185,RA_ObjRelClauseThat_gpt2 - 0.029463,RA_SentComp_gpt2 - 0.024583,SV_SubjRelClause_bert - 0.049402,RA_ObjRelClauseNoThat_bert - 0.058305,RA_Simple_bert - 0.027848,RA_ObjRelClauseThat_bert - 0.064756,SV_PP_gpt2 - 0.057369,SV_SentComp_gpt2 - 0.040788,SV_SubjRelClause_bert - 0.069594,SV_ObjRelClauseNoThat_gpt2 - 0.063107,SV_SentComp_bert - 0.020504,SV_SentComp_bert - 0.005532,SV_ObjRelClauseThat_bert - 0.018684,SV_Simple_bert - 0.010767,SV_Simple_bert - 0.011734
17,SV_SubjRelClause_gpt2 - 0.032557,RA_Simple_bert - 0.035545,RA_Simple_bert - 0.022162,RA_Simple_gpt2 - 0.031283,RA_SentComp_bert - 0.043632,SV_PP_bert - 0.028543,SV_ObjRelClauseNoThat_bert - 0.023205,SV_ObjRelClauseThat_bert - 0.018738,SV_Simple_gpt2 - 0.052237,SV_Simple_bert - 0.026956,SV_ObjRelClauseNoThat_bert - 0.037841,RA_ObjRelClauseNoThat_gpt2 - 0.028383,RA_SentComp_gpt2 - 0.035491,RA_Simple_gpt2 - 0.030951,RA_SentComp_bert - 0.015912,RA_Simple_bert - 0.016375,SV_PP_bert - 0.002082,SV_Simple_bert - 0.009784,SV_PP_bert - 0.007248,SV_SubjRelClause_gpt2 - 0.009468
18,SV_ObjRelClauseNoThat_gpt2 - 0.026221,RA_ObjRelClauseNoThat_gpt2 - 0.017074,SV_ObjRelClauseNoThat_gpt2 - 0.020870,RA_SentComp_gpt2 - 0.026541,RA_Simple_bert - 0.018962,RA_Simple_bert - 0.023330,RA_Simple_gpt2 - 0.022539,SV_ObjRelClauseNoThat_gpt2 - 0.006808,RA_ObjRelClauseThat_bert - 0.019478,RA_SentComp_bert - 0.020816,SV_ObjRelClauseNoThat_gpt2 - 0.036869,SV_SentComp_bert - 0.010527,SV_Simple_gpt2 - 0.028858,RA_ObjRelClauseThat_bert - 0.029424,SV_SentComp_bert - 0.008980,RA_SentComp_bert - 0.008336,RA_ObjRelClauseThat_bert - 0.002063,SV_SubjRelClause_gpt2 - 0.004262,SV_ObjRelClauseNoThat_gpt2 - 0.006859,SV_SubjRelClause_bert - 0.007934
19,SV_SentComp_bert - 0.024858,RA_SentComp_bert - 0.012901,SV_SentComp_bert - 0.005570,RA_ObjRelClauseNoThat_bert - 0.014140,SV_Simple_gpt2 - 0.009084,RA_Simple_gpt2 - 0.010229,RA_Simple_bert - 0.002162,SV_PP_bert - 0.005489,RA_SentComp_gpt2 - 0.000135,SV_SentComp_gpt2 - 0.007033,SV_SubjRelClause_gpt2 - 0.003195,SV_SubjRelClause_bert - 0.009165,SV_Simple_bert - 0.005770,SV_SentComp_gpt2 - 0.016048,SV_Simple_gpt2 - 0.006602,SV_ObjRelClauseThat_bert - 0.001536,SV_ObjRelClauseNoThat_bert - 0.001673,SV_SubjRelClause_bert - 0.003326,SV_SubjRelClause_bert - 0.004535,SV_SentComp_bert - 0.007636
